filtered_text,Label,text_length,presence_of_digit
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0,20,0
ok lar joking wif u oni,0,6,0
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t and apply,1,30,4
u dun say so early hor u c already then say,0,11,0
nah i do not think he goes to usf he lives around here though,0,14,0
freemsg hey there darling been 3 now and no word back i would like some fun you up for it still tb ok xxx std chgs to send 50 to rcv,1,31,2
even my brother is not like to speak with me they treat me like aids patent,0,16,0
as per your request i amelle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,27,1
winner as a valued network customer you have been selected to receivea prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,1,25,3
had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,1,29,2
ii am gonna be home soon and i do not want to talk about this stuff anymore tonight k cried enough today,0,22,0
six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,1,28,9
urgent you have won a 1 week free membership in our 000 prize jackpot txt the word claim to no 81010 t and c www dbuk net lccltd pobox 4403ldnw1a7rw18,1,30,7
been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0,36,0
i have a date on sunday with will,0,8,0
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,1,23,0
oh k ii am watching here,0,6,0
eh u remember how 2 spell his name yes i did he v naughty make until i v wet,0,19,1
fine if the way u feel the way its gota b,0,11,0
england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 20 poboxox36504w45wq 16,1,26,7
is that seriously how you spell his name,0,8,0
going to try for 2 months ha ha only joking,0,10,1
so pay first lar then when is da stock comin,0,10,0
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0,20,1
ffffffffff alright no way i can meet up with you sooner,0,11,0
just forced myself to eat a slice ii am really not hungry tho this sucks mark is getting worried he knows ii am sick when i turn down pizza lol,0,30,0
lol your always so convincing,0,5,0
did you catch the bus are you frying an egg did you make a tea are you eating your left over dinner do you feel my love,0,27,0
ii am back and amp packing the car now i will let you know if room,0,16,0
ahhh work i vaguely remember that what does it feel like lol,0,12,0
wait still not all that clear were you not sure about me being sarcastic or that why x want to live with us,0,23,0
yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we will not go there not doing too badly cheers you,0,42,2
k tell me anything about you,0,6,0
for fear of fainting with the of all that housework you just did quick have a cuppa,0,17,0
thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,1,29,0
yup ok i go home look at the timings then i msg again xuhui going to learn on 2nd may too but her lesson is at 8am,0,27,2
oops i will let you know when my done,0,9,0
i see the letter b on my car,0,8,0
anything lor u decide,0,4,0
hello you and how did saturday go i was just texting to see if you would decided to do anything tomo not that ii am trying to invite myself or anything,0,31,0
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0,17,0
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0,28,0
07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow,1,29,2
who are you seeing,0,4,0
great i hope you like your man well endowed i am and lt and gt inches,0,16,0
no calls messages missed calls,0,5,0
you get hep b immunisation in nigeria,0,7,0
fair enough anything going on,0,5,0
yeah hopefully if tyler do it i could maybe ask around a bit,0,13,0
u do not know how stubborn i am i even want to go to the hospital i kept telling mark ii am not a weak sucker hospitals are for weak suckers,0,31,0
what you thinked about me first time you saw me in class,0,12,0
a gram usually runs like and lt and gt a half eighth is smarter though and gets you almost a whole second gram for and lt and gt,0,28,0
k fyi x has a ride early tomorrow morning but crashing at our place tonight,0,15,0
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about ii am sorry i and do not have more to give ii am sorry i offered ii am sorry your room was so embarassing,0,56,0
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1,22,0
do you know what mallika sherawat did yesterday find out now and lt url and gt,0,16,0
congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free 150pm dont miss out,1,26,7
sorry i will call later in meeting,0,7,0
tell where you reached,0,4,0
yes gauti and sehwag out of odi series,0,8,0
your gonna have to pick up a 1 burger for yourself on your way home i even move pain is killing me,0,22,1
ha ha ha good joke girls are situation seekers,0,9,0
its a part of checking iq,0,6,0
sorry my roommates took forever it ok if i come by now,0,12,0
